team,probability_percent
Argentina,16.1
Spain,13.08
France,12.78
Portugal,8.52
England,8.42
Croatia,5.24
Germany,4.9399999999999995
Morocco,4.7
Belgium,4.14
Brazil,2.92
Netherlands,2.52
Senegal,1.92
United States,1.8599999999999999
Mexico,1.78
Japan,1.76
Colombia,1.58
Switzerland,1.5
Uruguay,1.2
South Korea,0.96
Australia,0.7000000000000001
Canada,0.52
Iran,0.48
Egypt,0.42
Algeria,0.33999999999999997
Ivory Coast,0.32
Norway,0.26
Ecuador,0.16
Scotland,0.13999999999999999
Panama,0.12
Austria,0.12
Uzbekistan,0.08
Saudi Arabia,0.08
Paraguay,0.08
UEFA_Playoff_D,0.06
Ghana,0.04
UEFA_Playoff_A,0.04
Jordan,0.02
Qatar,0.02
South Africa,0.02
Tunisia,0.02
UEFA_Playoff_C,0.02
New Zealand,0.02
